mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=138	138.0	𝅘𝅥	138.0	0.0		
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0	
1	1	1	1	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	1									
1	1	4/3	4/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	2									
1	1	5/3	5/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	3									
1	1	2	2	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	4									
1	1	7/3	7/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	5									
1	1	8/3	8/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	6									
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	7									
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	8									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9									
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10								1	
2	2	4	4	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	11									
2	2	13/3	13/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	12									
2	2	14/3	14/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	13									
2	2	5	5	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	14									
2	2	16/3	16/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	15									
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	16									
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	17									
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18									
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	20		ornamentTrill							
3	3	7	7	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	21									
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	22									
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	23									
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	24									
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	25									
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	26									
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	27									
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	28									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	29									
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	30		ornamentTrill						2	
4	4	39/4	39/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	31								2	
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	32									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33									
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	34									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35									
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	36									
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	37									
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	38									
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	39									
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	40									
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	41									
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	42									
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	43									
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	44									
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	45									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	46									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	47									
6	6	16	16	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	48									
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	49									
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	50									
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	51									
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	52									
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	53									
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	54									
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	55									
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56									
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57									
7	7	18	18	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	58									
7	7	55/3	55/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	59									
7	7	56/3	56/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	60									
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	61									
7	7	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	62									
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	63									
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	64									
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	65									
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	66									
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	67									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	68									
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	69		ornamentTrill							
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	70									
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71									
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73									
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p								
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	74		ornamentTrill							
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	75								3	
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	76									
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	77									
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	78		ornamentTrill							
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	79								4	
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	80									
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	81		ornamentTrill							
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	82									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	83									
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	84									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	85									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	86									
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	87		ornamentTrill							
12	12	34	34	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	88									
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	89									
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90									
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91									
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92									
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	93									
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	94									
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	95									
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	96									
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	97									
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	98									
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	99									
13	13	36	36	0.0	0	0	Dynamic	3/4	2	1	0					f								
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	101									
14	14	39	39	0.0	0	0	Chord	3/4	1	1	0	grace4	1/4	1	102									
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	103		ornamentTrill							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	104									
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105									
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107									
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	108									
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	109									
15	15	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	110									
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	111									
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	112									
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	113									
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	114									
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117									
16	16	45	45	0.0	0	0	Chord	3/4	1	1	0	grace4	1/4	1	118									
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	119		ornamentTrill							
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	120									
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	121									
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	122									
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	123									
17	17	48	48	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	124									
17	17	145/3	145/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	125									
17	17	146/3	146/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	126									
17	17	49	49	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	127									
17	17	148/3	148/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	128									
17	17	149/3	149/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	129									
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	130									
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	131									
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	132									
18	18	51	51	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	133									
18	18	154/3	154/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	134									
18	18	155/3	155/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	135									
18	18	52	52	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	136									
18	18	157/3	157/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	137									
18	18	158/3	158/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	138									
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	139									
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	140									
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	141									
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	142									
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	143									
19	19	109/2	109/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	144									
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	145									
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	146									
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	147		ornamentTrill							
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	148									
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	149									
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	150									
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	151									
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	152									
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	153									
20	20	175/3	175/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	154									
20	20	176/3	176/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	155									
20	20	59	59	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	156									
20	20	178/3	178/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	157									
20	20	179/3	179/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	158									
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	159									
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	160									
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	161								5	
21	21	61	61	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	162									
21	21	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	163									
21	21	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	164									
21	21	62	62	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	2/3	165									
21	21	62	62	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	166									
21	21	187/3	187/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	167									
21	21	188/3	188/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	168									
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	169									
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	170									
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	171									
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	172									
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	173									
22	22	193/3	193/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	174									
22	22	194/3	194/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	175									
22	22	65	65	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	176									
22	22	196/3	196/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	177									
22	22	197/3	197/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	178									
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179									
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180									
23	23	66	66	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	181									
23	23	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	182									
23	23	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	183									
23	23	67	67	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	184									
23	23	202/3	202/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	185									
23	23	203/3	203/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	186									
23	23	68	68	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	187									
23	23	205/3	205/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	188									
23	23	206/3	206/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	189									
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	190									
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	191									
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	192									
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	193									
24	24	211/3	211/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	194									
24	24	212/3	212/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	195									
24	24	71	71	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	196									
24	24	214/3	214/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	197									
24	24	215/3	215/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	198									
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	199									
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	200									
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	201								6	
25	25	73	73	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	202									
25	25	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	203									
25	25	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	204									
25	25	74	74	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	2/3	205									
25	25	74	74	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	206									
25	25	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	207									
25	25	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	208									
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	209									
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	210									
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	211									
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	212									
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	213									
26	26	229/3	229/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	214									
26	26	230/3	230/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	215									
26	26	77	77	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	216									
26	26	232/3	232/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	217									
26	26	233/3	233/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	218									
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	219									
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220									
27	27	78	78	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	221									
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	222									
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	223									
27	27	79	79	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	224									
