mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								Allegretto	100.0	1.0	
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0							
1	1	1	1	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	1		ornamentTrill					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2							
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	3							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	4							
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	6							
2	2	2	2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	7							
2	2	2	2	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	8							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	9							
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	10							
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	11							
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	12							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	13							
3	3	4	4	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	14		ornamentTrill					
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	15							
3	3	5	5	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	16							
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	17							
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	18							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	19							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	20							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	21							
4	4	6	6	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	22							
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	23							0
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24							
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	25							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	26							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	27							
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	28							
5	5	8	8	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	29							
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	30							
5	5	9	9	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	31							
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	32							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	33							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	34							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	35							
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	36							1
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	37		ornamentTrill					
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	38							
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	39							
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	40							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	41							
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	42							
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	43							
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	44							
7	7	25/2	25/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	45							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	46							
7	7	25/2	25/2	1.0	1/8	1/8	Chord	2/4	1	2	1/4		1/4	1	47							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	48							
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	49							
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	50							
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	51							
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	52							
7	7	12	12	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	53							
8	8	14	14	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	54							
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	55							
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	56		ornamentTrill					
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	57							
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	58		ornamentTrill					
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	59							
8	8	14	14	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	60							
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	61							
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					f						
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	62							
9	9	65/4	65/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	63							
9	9	17	17	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p						
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	64		ornamentTrill					
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	65							
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	66							
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	67							
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	68							2
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	69							2
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	70							
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	71							3
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	72		ornamentTrill					
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	73							4
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	74							4
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	75							
11	11	20	20	0.0	0	0	Dynamic	2/4	1	1	0					f						
11	11	20	20	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	76							
11	11	81/4	81/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	77							
11	11	21	21	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p						
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	78		ornamentTrill					
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	79							
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	80		ornamentTrill					
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81							
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	82							5
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	83							5
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	84							
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	85							6
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	86		ornamentTrill					
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	87							
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	88							
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	89							
13	13	24	24	0.0	0	0	Dynamic	2/4	1	1	0					f						
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	90							
13	13	97/4	97/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16		1/8	3/2	91							
13	13	25	25	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p						
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	92		ornamentTrill					
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	93							
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	94		ornamentTrill					
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	95							
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	96							
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	97							
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	98							
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	99							7
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	100		ornamentTrill					
14	14	111/4	111/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0					f						
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	101							
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	102							
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	103							
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	104							
15	15	28	28	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	105							
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	106							
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	107							
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	108							
15	15	29	29	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	109							
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	110							
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	111							
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	112							
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	113							
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	114							
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	115							
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	116							
15	15	28	28	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	117							
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	118							
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	119							8
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	120							
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	121							9
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	122							
16	16	30	30	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	123							
17	17	32	32	0.0	0	0	StaffText	2/4	1	1	0							Var. 1				
17	17	32	32	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	124							
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	125							
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	126							
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	127							
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	128							
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	129							
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	130							
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	131							
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	132							
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	133							
17	17	32	32	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	134							
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	135							
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	136							
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	137							
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	138							
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	139							
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	140							
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	141							
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	142							
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	143							
18	18	34	34	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	144							
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	145							
18	18	34	34	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	146							
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	147							
19	19	36	36	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	148							
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	149							
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	150							
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	151							
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	152							
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	153							
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	154							
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	155							
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	156							
19	19	37	37	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	157							
19	19	36	36	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	158							
20	20	38	38	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	159							
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	160							
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	161							
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	162							
20	20	39	39	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	163							
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	164							
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	165							
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	166							
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	167							
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	168							
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	169							
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	170							
21	21	40	40	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	171							10
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	172							
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	173							11
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	174							
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	175							12
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	176							
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	177							13
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	178							
21	21	40	40	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	179							
21	21	41	41	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	180							
21	21	41	41	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	181							
22	22	42	42	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	182							14
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	183							14
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	184							14
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	185							
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	186							
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	187							
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	188							
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	189							
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	190							
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	191							
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	192							
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	193							
23	23	44	44	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	194							
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	195							
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	196							
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	197							
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	198							
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	199							
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	200							
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	201							
23	23	44	44	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	202							
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	203							
23	23	44	44	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	204							
24	24	46	46	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	205							
24	24	185/4	185/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	206							
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	207							
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	208							
24	24	47	47	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	209							
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	210							
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	211							
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	212							
24	24	46	46	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	213							
25	25	48	48	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	214							
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	215							
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	216							
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	217							
25	25	49	49	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	218							
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	219							
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	220							
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	221							
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	222							
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	223							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	224							
26	26	50	50	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	225							
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	226							
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	227							
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	228							
26	26	51	51	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	229							
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	230							
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	231							
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	232							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	233							
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	234							
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	235							
27	27	52	52	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	236							
27	27	52	52	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	237							
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	238							
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	239							
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	240							
27	27	53	53	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	241							
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	242							
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	243							
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	244							
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	245							
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	246							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	247							
28	28	54	54	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	248							
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	249							
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	250							
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	251							
28	28	55	55	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	252							
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	253							
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	254							
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	255							
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	256							
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	257							
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	258							
29	29	56	56	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	259							
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	260							
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	261							
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	262							
29	29	57	57	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	263							
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	264							
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	265							
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	266							
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	267							
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	268							
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	269							
30	30	58	58	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	270							
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	271							
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	272							
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	273							
30	30	59	59	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	274							
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	275							
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	276							
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	277							
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	278							
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	279							
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	280							
